Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31
000038.SZ,4.8474,1.8432,5.7643,3.1855,1.7647,0.8660,4.2866,2.6617,2.0191,0.9595,4.1601,2.3425,1.5992,0.6537,2.6627,2.0169,1.6808,0.9886,4.5192,4.1537,2.4493,1.5224,509.0514,0,0,0,0,24.7248,10.1650,11.7823,145.2031,"18,465.9336",0,0,0,5.9109,0,0,0,0,0,0.6737,14.9940,0,0,0
000607.SZ,0,1.2219,4.8231,2.6751,1.7185,0.8269,4.8397,2.9488,1.9884,0.9714,4.7599,2.8787,1.8863,0.8721,4.1425,2.2000,1.4444,0.6515,3.6643,2.0708,1.3831,0.6100,3.6015,2.2697,1.4816,0.6794,2.8902,1.8478,1.2068,0.5562,3.5478,2.2020,1.4950,0.6428,3.2733,1.7728,1.0509,0.4741,4.2235,2.5068,1.7171,0.7654,3.3339,2.1292,1.3761,0.7505
000676.SZ,0,1.2757,5.6884,6.0682,3.8652,2.2204,5.2129,3.4927,2.3466,1.2385,4.6758,3.4956,2.6575,1.3727,5.9985,4.7664,2.9314,1.3941,5.9644,4.0107,1.8922,0.9938,3.6499,2.0671,1.5587,0.8191,2.8984,1.7228,1.1444,0.5604,2.8173,1.9195,1.2222,0.6369,2.4117,1.9201,1.3102,0.5322,2.5570,1.5095,1.0381,0.3918,2.5215,1.8980,1.2994,0.7045
000917.SZ,0,1.4186,6.5541,3.8025,2.5017,1.1470,6.5259,4.5057,2.8182,0,9.1815,5.8569,4.0381,2.0758,8.6181,7.8776,4.9669,2.5912,12.0552,11.8946,7.2445,4.4164,16.1917,14.0063,7.2698,4.0845,24.5803,17.9167,14.3618,7.4988,19.7713,10.1420,6.5116,2.4142,12.7930,5.9920,3.9601,2.8050,14.3293,15.0053,9.1849,4.2220,57.2914,44.2237,32.7897,16.5848
002027.SZ,0,1.0089,3.1064,2.0233,1.2057,0.4910,2.6991,1.9464,1.2590,0.5870,3.7295,2.6628,1.8599,0.9753,4.6727,3.1096,2.3550,1.1802,4.7028,3.3962,2.1557,0.9948,7.7998,12.9967,8.7614,3.5834,15.5485,16.0342,10.4207,4.3998,17.6439,10.3823,7.1337,2.2818,10.0032,6.8107,4.8687,1.9586,9.2668,7.5656,4.0521,1.7303,10.6373,5.7788,3.9355,2.4216
002103.SZ,0,1.2148,5.0811,3.4396,2.2260,0.9457,4.3701,3.0940,1.9653,0.9067,4.3276,3.1942,2.2196,1.0663,6.3889,4.0403,2.8982,1.3772,5.2588,3.5157,2.3606,1.0764,6.1857,4.3355,2.7816,1.2075,6.6268,4.8758,2.9787,1.5026,6.6057,4.3130,2.6731,1.3757,7.3212,5.1353,3.2704,1.5711,7.2113,5.2488,3.2261,1.5601,7.9419,5.9537,3.4280,1.5984
002131.SZ,0,0.8853,3.4659,2.7680,1.8831,0.9237,3.3476,2.4196,1.5223,0.7471,2.8127,2.0572,1.3324,0.6205,2.9989,2.2730,1.4573,0.6962,3.0497,2.1781,1.4684,0.6795,2.5620,1.9647,1.3134,0.6130,2.7336,2.0889,1.2574,0.6762,3.1895,2.5298,1.6543,0.8141,3.6249,2.8585,1.8632,0.9097,4.3060,4.8434,3.1588,1.5410,6.5193,5.9093,3.3480,1.5606
002137.SZ,0,1.0233,3.6060,3.0173,2.0158,0.9768,3.3866,2.5512,1.6722,0.8015,4.1308,2.8675,1.6992,0.9422,3.4936,2.5546,1.6516,0.8629,3.3634,2.5102,1.6188,0.9538,2.2779,2.6277,1.9573,0.9024,4.3998,3.4367,1.9697,0.9171,4.3338,3.0375,1.9660,0.9632,4.3714,3.0555,2.0559,1.0545,4.6338,3.3173,2.2509,0.9877,4.2688,4.2599,2.3654,1.0228
002247.SZ,0,1.6607,5.3196,2.5265,1.5484,0.4268,2.9840,1.7482,1.3290,0.6550,3.1706,2.0400,1.3705,0.7221,3.7642,2.2803,1.6470,0.7499,4.9995,2.4181,1.5711,1.1760,7.8766,3.8706,2.6779,1.2374,9.4934,4.5596,3.2837,1.5629,10.1717,4.7176,3.1274,1.5619,10.2377,4.9012,3.3567,1.6170,11.1683,5.8237,3.7229,1.7996,12.2655,6.9952,4.5363,1.9290
002291.SZ,0,0.4231,1.7133,1.0696,0.6985,0.2521,1.9641,1.5430,0.9980,0.4707,1.9701,1.5495,0.9812,0.4791,2.0454,1.4875,1.0268,0.5247,2.0898,1.5599,1.0015,0.5158,2.2914,1.6459,1.1402,0.5616,2.4720,1.8085,1.2585,0.6590,2.7244,1.9374,1.3550,0.6959,2.7537,2.0098,1.4522,0.7580,3.3858,2.5996,1.7570,0.9703,4.2626,3.3498,2.2994,1.1797
002400.SZ,0,0.9875,4.6888,3.4577,2.2190,0.8608,4.6026,3.5441,2.1656,0.9142,5.0257,3.7687,2.3278,1.0003,4.4863,2.5749,1.5861,0.6917,4.3991,2.8283,1.9569,0.8598,4.9944,3.2036,2.2800,1.0263,5.2878,4.7772,3.3316,1.6284,8.4278,5.3781,3.5316,1.7778,11.5829,7.3714,5.2056,2.4625,16.8022,10.1692,6.6870,3.7194,21.9796,14.2079,7.7388,3.6222
002712.SZ,0,1.0772,4.3340,3.1742,2.0490,0.4964,3.9114,2.6968,2.0260,0,6.2356,3.6035,2.1880,1.1251,4.9375,3.3230,2.1002,0.9908,5.7448,3.4261,2.0807,0.9274,3.3031,2.1485,1.2718,0.5509,3.9803,2.9653,2.2567,1.1740,8.9726,4.3953,3.9905,0,10.3187,0,0,0,7.3816,0,0,0,5.0970,0,0,0
002878.SZ,1.6936,0.8478,3.5635,2.4863,1.4716,0.6450,2.9147,2.1361,1.4358,0.6562,2.7282,2.4038,1.5405,0.8300,3.0505,2.1279,1.4061,0,3.0745,2.5692,1.7406,0,2.9564,0,0,0,3.5160,0,0,0,3.8902,0,0,0,4.0819,0,0,0,0,0,0,0,0,0,0,0
002995.SZ,0,6.3165,43.1704,30.0441,23.4426,9.8233,51.9254,0,16.6591,0,48.6732,0,0,0,58.5547,0,41.8668,0,140.1814,0,0,0,855.5299,0,0,0,488.4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300038.SZ,0,0.6336,2.3312,1.3333,0.9309,0.3236,2.5448,1.6471,1.2556,0.6762,3.4236,2.6545,1.6735,0.7254,2.5828,1.5871,0.8909,0.1987,1.0991,0.7001,0.4126,0.1728,0.8575,0.4910,0.3027,0.1209,0.7686,0.4895,0.3048,0.1596,1.1012,0.7227,0.5151,0.3017,1.4043,1.0197,0.7969,0.3899,1.3435,0.9031,0.5814,0.2873,0.9250,0.7277,0.4327,0.1841
300058.SZ,0,1.1560,4.8823,3.6983,2.2991,1.1177,4.1757,2.9221,1.8579,0.9013,3.8200,2.7590,1.7148,0.7835,2.7369,1.9581,1.2693,0.5915,2.8720,2.0356,1.3824,0.6372,2.8928,2.0663,1.4593,0.5912,3.3349,2.4850,1.7337,0.8519,3.2401,2.2137,1.2799,0.6160,3.3865,2.3652,1.5966,0.7702,4.6412,3.1913,2.1144,1.1137,5.3586,3.5758,2.2939,0.9364
300063.SZ,0,1.4933,6.2496,4.6765,2.8433,1.4278,6.3327,4.4900,2.8482,1.3289,6.6496,0,3.0632,1.5018,6.6357,5.0397,3.3060,1.4748,6.2329,4.3979,2.7217,1.1908,2.9765,2.1458,1.3839,0.5895,3.7702,2.8015,1.8876,0.9357,4.1320,2.6405,1.4433,0.6848,2.8688,2.0917,1.3359,0.6119,3.3112,2.3053,1.4369,0.6593,3.0997,2.0991,1.4161,0.6898
300071.SZ,0,0.3631,1.3198,0.9506,0.5838,0.2292,1.8270,1.2863,0.8652,0.3667,2.0326,1.4367,0.9596,0.4199,2.3475,1.7128,1.1313,0.5715,3.0817,2.0810,1.4230,0.7313,3.8677,1.8285,1.2007,0.5998,2.3070,1.8090,1.1266,0.5207,3.4173,2.4963,1.5996,0.8315,3.8166,2.7776,1.8946,1.0133,5.3478,4.1324,2.6711,1.5121,5.0562,3.6183,2.5488,1.2248
300242.SZ,0,1.5175,6.0069,4.6245,3.0594,1.4242,5.3130,3.6895,2.3517,1.0361,7.0276,4.5849,2.7559,1.1270,4.3705,3.0260,2.0085,1.0685,5.8141,3.9004,2.5155,1.2989,4.3377,4.3267,2.8108,1.3673,4.3827,3.2417,2.0166,0.9241,3.9063,2.8146,1.8728,0.7441,3.8943,2.7916,1.9115,0.8747,4.6362,3.1844,1.9460,0.7458,5.7280,0,0,0
300269.SZ,2.4881,1.1825,3.1382,2.1963,1.3237,0.6237,4.4101,3.1419,2.1015,0.9807,4.2778,2.8245,1.7749,0.7922,4.2288,2.8532,1.9247,0.8448,4.2838,2.7706,1.4922,0.6805,3.4513,2.3129,1.4769,0.5987,3.0379,1.9417,1.1001,0.5430,2.3947,1.7769,1.0411,0.5063,2.4609,1.7176,1.0794,0.4834,3.3533,2.4395,1.5606,0,3.6554,0,0,0
300280.SZ,0,0.4000,1.6320,1.1667,0.7597,0.3103,1.8633,1.2948,0.7958,0.3621,4.1497,3.4581,2.2367,5.9663,29.6465,24.2074,14.8441,7.4513,26.0186,16.7254,9.5378,5.2907,14.8735,9.9763,5.9839,2.4059,12.0621,8.4664,5.5729,2.5167,7.3567,4.4567,2.6224,1.3346,9.4987,6.5172,5.1010,2.5026,20.2253,15.8714,13.2949,0,22.0471,0,0,0
300343.SZ,0,2.7265,2.0372,1.2051,0.6880,0.2747,1.9163,1.2929,0.8336,0.4016,1.8887,1.3728,0.9038,0.3555,1.7153,1.2475,0.8116,0.3138,2.3133,1.6800,1.0456,0.3459,3.0737,2.0984,0.8765,1.1338,7.7025,5.7239,3.6286,1.1684,5.7639,3.9084,2.6394,1.0404,8.3631,6.9349,0,0,16.4765,11.2909,0,0,13.3621,0,0,0
300392.SZ,0,1.2222,2.9929,3.0715,1.9483,0.8250,3.5940,1.8965,1.3230,0.6447,2.3796,1.3827,0.8605,0.4807,2.6993,2.0889,1.4767,0.5100,2.2276,1.3589,0.9321,0.4360,2.6813,2.0143,1.3363,0.6270,2.6638,1.8967,1.3052,0.5851,3.0897,0,0,0,3.8635,0,0,0,3.7753,0,0,0,0,0,0,0
300612.SZ,0,0.5944,2.6049,2.0381,1.0396,0.4084,2.1216,1.4533,0.9187,0.3099,1.8734,1.3742,0.8833,0.4303,2.4736,1.9326,1.3428,0.6586,3.5953,2.5624,2.1055,0.7286,5.3302,0,0,0,4.3992,0,0,0,3.1294,0,0,0,3.3459,0,0,0,0,0,0,0,0,0,0,0
300766.SZ,0,0.5467,2.3456,2.0627,1.2980,0.5046,3.1479,2.3861,1.9235,1.2140,5.6367,0,0,0,6.0288,0,2.7338,0,5.7854,0,0,0,4.1949,0,0,0,3.2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300781.SZ,0,1.0189,2.2440,1.4358,1.0513,0.5602,2.8845,2.1680,1.5157,0.8173,3.3820,0,0,0,2.9017,0,1.4450,0,4.1180,2.7622,0,0,3.4080,0,0,0,4.9086,0,0,0,5.3864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300805.SZ,0,0.6701,2.5954,1.8496,1.2149,0.4183,2.6409,1.9041,1.2682,0,2.5742,0,0,0,2.2691,0,0,0,2.2215,0,0,0,2.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300987.SZ,0,0.7072,3.4006,0,1.2753,0,3.4799,0,0,0,4.2247,0,0,0,4.1002,0,0,0,5.9335,0,0,1.4631,4.5337,0,0,0,4.8335,3.7422,0,0,8.9013,0,0,0,7.9416,0,0,0,4.8076,0,0,0,0,0,0,0
600088.SH,0,8.7564,36.6829,14.8937,8.9994,5.5564,55.9640,25.8082,14.9332,6.2722,79.2724,33.2662,36.7944,16.7228,72.4374,38.8236,40.4270,17.9385,11.3284,3.7942,2.7470,1.1022,5.5630,3.2643,2.1108,0.9583,7.1200,4.9999,3.2106,1.3469,7.4862,4.9289,2.9823,0.9712,9.0121,19.3332,10.3542,4.8225,48.1236,23.7595,13.1844,6.9618,111.7492,51.3022,32.4005,21.2479
600242.SH,0,0.5747,2.5584,1.7441,1.2057,0.5872,4.3783,3.5318,2.3631,1.1154,5.4856,3.5441,2.0627,0.8907,6.1187,4.2056,4.5567,2.1056,5.7957,2.0523,0.6250,0.3103,1.7818,1.0427,0.6913,0.2619,1.3777,1.0335,0.6189,0.3694,2.1454,1.4569,1.0044,0.5130,3.9997,2.3299,1.5729,0.7385,6.9209,6.5574,5.1482,3.2863,17.1551,9.8555,3.7021,1.8744
600386.SH,0,3.3927,17.4107,10.0073,5.9339,2.2397,21.8765,15.2375,9.7983,4.4698,22.1198,14.0592,8.9152,4.0068,20.3413,15.0541,9.3880,4.5596,18.2818,11.4618,6.9194,3.2695,15.3069,10.5825,6.5970,3.0437,15.1388,10.3247,6.7633,3.2171,15.5143,9.8203,6.8326,2.9953,16.7896,12.2863,8.7492,4.2896,17.0850,10.1962,6.8274,3.7147,16.7801,9.4447,6.1176,2.8466
600556.SH,0,0.5628,2.8064,2.1564,1.5441,0.6984,5.5678,0.9596,0.6294,0.1873,3.4739,0,2.5159,1.1453,5.2946,1.8301,1.0013,0.5554,2.4984,1.1924,0.8604,0.5277,6.5327,6.0762,5.2644,1.5255,10.3328,4.3193,3.8058,1.5410,13.0295,5.3670,4.1540,1.4107,2.2651,0,0,0,0,0,0,0,0,0,0,0
600986.SH,1.8221,0.8306,2.5633,1.8445,1.2454,0.6617,4.9101,3.3757,2.1818,1.0100,4.2640,2.9199,1.9081,0.9146,3.9220,2.8785,1.7949,0.8001,4.2798,3.1933,1.9900,0.6639,2.3600,1.0802,0.7471,0.3002,1.6710,1.1151,0.5696,0.1066,1.4784,0.8582,0.5606,0.1630,2.5138,1.8391,0.9548,0.4857,2.4396,1.5662,1.0786,0.3277,2.3702,2.0292,1.1297,0.1952
603598.SH,0,1.2120,6.0545,4.5438,2.7872,1.2786,5.2162,3.3629,1.9353,0.9140,5.0254,4.0969,2.6808,1.1536,5.7736,7.5352,5.3756,2.8751,7.6224,5.0675,3.5335,1.4811,8.6207,6.8993,5.8771,0,11.4527,0,0,0,14.6356,0,0,0,12.7064,0,0,0,12.0632,0,0,0,0,0,0,0
603729.SH,1.4485,0.6893,2.3398,1.6174,1.1424,0.6209,2.0153,1.5312,1.0082,0.2308,2.8416,2.1130,1.2898,0.5665,3.2085,2.0645,1.2874,0.4936,2.7721,2.1547,1.4363,0.6807,3.4570,2.2673,1.5701,0.8229,4.0126,3.2083,2.1342,0,7.1327,0,0,0,8.5802,0,0,0,7.2785,0,2.9249,0,6.0171,0,0,0
603825.SH,0,0.5263,1.9577,1.5353,1.0669,0.4925,2.4345,1.5798,1.1101,0.4864,2.9187,2.2097,1.4463,0.6344,2.7825,1.8894,1.2905,0,2.7207,2.1073,1.3736,0,3.2537,0,1.5327,0,2.9524,0,0,0,2.8083,0,0,0,3.2886,0,0,0,2.7783,0,0,0,0,0,0,0
605168.SH,0,0.5941,4.1210,2.4303,1.6153,0.7984,4.1484,0,1.5045,0,3.5544,0,0,0,3.4400,0,0,0,3.4424,0,2.0138,0,3.1716,0,1.3052,0,3.4360,2.3171,1.5170,0,4.9326,0,0,0,4.5714,0,0,0,0,0,0,0,0,0,0,0
000681.SZ,0,0.6968,3.3222,2.3804,1.6194,0.6297,4.0605,2.9763,2.2906,0,3.6767,1.8987,1.3188,0.4650,2.3351,1.9512,1.0886,0.3383,2.3174,1.5997,0.9651,0.3502,2.4677,1.7369,1.2417,0.6119,4.2248,2.9573,2.0514,0.0051,4.5410,3.7521,4.0368,0.0000,2.8614,2.3877,1.1707,0.0000,1.4227,0,0,0,0,0,0,0
002095.SZ,0,9.8780,39.0989,28.4129,19.4236,7.7588,68.2694,42.3605,21.5932,13.7125,103.3660,46.3642,28.3823,12.3198,62.6990,29.2603,24.2531,10.0373,49.3827,28.6295,17.2318,7.4412,32.6677,18.5561,10.3376,6.5339,35.4368,24.2365,14.5573,8.2765,57.6429,27.0716,21.4814,11.6356,38.6942,22.2902,16.3459,7.2172,30.1140,24.6866,13.1729,9.6519,36.9454,30.4827,14.5488,9.4989
002188.SZ,0,0.7756,3.9906,2.3297,0.9111,0.1866,1.0001,0.8766,0.7675,0.4959,0.6312,0.2712,0.1724,0.0840,1.4486,1.1758,0.8412,0.4440,2.2337,1.6528,1.1007,0.4989,1.6721,2.7316,1.8080,0.8880,3.9669,2.9118,1.8501,0.8345,4.1333,2.8776,1.8932,0.8479,3.1890,2.4023,1.5853,0.7860,3.6839,2.6652,1.6110,0.7620,3.6708,2.2538,1.5142,0.7801
002315.SZ,0,8.7985,29.5459,18.6757,11.4641,4.9181,18.6458,11.5519,7.4718,3.5450,14.5034,9.8530,5.8550,3.8575,19.0459,10.9011,7.2252,3.0558,13.2801,11.9134,8.6051,3.8106,23.1175,22.9945,20.6294,12.5465,69.3095,32.3008,26.1895,13.6223,82.6547,54.6636,40.3957,19.1270,183.9120,134.2637,100.0229,58.2157,544.1244,0,0,0,0,0,0,0
002530.SZ,0,0.6231,1.9852,1.3346,0.8988,0.4003,2.2524,1.5541,0.9741,0.5158,2.8733,1.7665,1.1405,0.5161,3.3905,2.3825,1.3501,0.6265,2.7357,1.8855,1.2847,0.6565,3.1364,2.2394,1.4923,0.6458,2.8972,2.2081,1.4918,0.7123,3.8785,2.7973,1.9798,0.7711,4.3002,3.2099,2.2293,1.0209,4.7425,3.4226,2.2998,1.0748,5.3800,3.4746,2.3210,0
300295.SZ,0,3.0673,7.6879,6.4513,3.7592,1.1880,7.9811,6.2363,4.0891,1.7536,10.9125,13.4741,7.8999,4.2022,15.2211,13.5488,7.8213,3.1715,19.4364,15.9756,9.5960,4.5090,18.4269,10.9751,7.4054,3.5282,12.8336,8.3919,6.0097,3.3085,12.2256,8.8930,5.5662,2.3822,10.7842,7.6506,4.8241,1.9908,10.6186,0,5.3789,0,10.3686,0,0,0
300359.SZ,0,0.5017,2.8089,1.3995,0.9073,0.3392,1.9396,1.0276,0.5725,0.2858,1.7044,0.9198,0.6169,0.3501,2.3318,1.5158,1.0589,0.5627,3.8325,2.0853,1.6267,0.9428,4.2223,2.7740,1.8757,0.8154,3.6857,2.9912,1.9238,0.8843,4.2994,0,2.0495,0,5.2160,0,0,0,6.9175,0,0,0,9.1813,0,0,0
300413.SZ,0,1.2112,4.6891,3.1518,2.0549,0.9264,5.7635,3.9677,2.9543,1.3934,12.4136,6.4875,4.8787,3.4778,16.2191,13.8389,8.9380,4.0769,31.3209,32.2438,17.8673,11.2702,75.1694,79.4498,60.2772,34.7512,142.3590,106.5607,85.2194,39.8095,175.8161,0,0,0,136.8839,0,0,0,106.0646,0,0,0,0,0,0,0
300770.SZ,0,0.8366,3.6543,2.9617,2.9214,1.3862,4.5774,3.0636,1.9912,0.9160,4.4643,0,0,0,5.7196,0,3.8803,0,5.4983,0,0,0,3.4654,0,0,0,2.7241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600640.SH,0,1.0662,4.6099,3.0218,1.8822,0.6763,4.7583,3.8225,2.8789,1.2406,4.1170,2.7660,1.8105,0.8668,6.4699,6.8731,5.1676,3.0596,9.0921,6.1341,4.4029,2.5974,13.0202,8.6274,5.5949,2.2461,9.7889,6.7902,4.5517,1.8596,8.8893,5.3989,3.2410,1.6992,18.7067,11.2463,7.4673,4.6733,27.1500,14.0609,6.3923,4.1913,32.6023,22.8775,16.6517,8.5472
603000.SH,0,0.6771,3.9201,2.2736,1.3891,0.6221,4.1892,2.4148,1.4775,0.6459,3.7746,2.4419,1.5020,0.6661,3.1666,2.0246,1.2725,0.5823,2.8470,1.6248,1.0996,0.5586,3.3146,2.1459,1.4748,0.7646,4.2213,2.6785,1.7899,0.9037,3.7276,2.4000,1.5651,0.7069,4.4861,3.4957,2.5964,0,8.1202,0,3.6470,0,10.6858,0,0,0
603888.SH,0,0.5908,2.3671,1.0764,0.6376,0.2096,2.3709,1.4433,0.9549,0.4303,2.8465,1.7631,1.0876,0.4818,3.1738,1.7683,1.1006,0.4465,3.5866,2.2582,1.4614,0.5168,3.8101,0,0,0,3.8862,0,0,0,5.0908,0,0,0,5.7744,0,0,0,4.2640,0,0,0,0,0,0,0
000156.SZ,0,1.2273,7.6360,4.2035,2.8365,1.0676,5.3160,3.0903,2.0939,1.1008,5.2452,3.2433,2.2317,1.2037,5.6401,3.3484,2.3785,1.1944,6.2615,3.5170,2.3994,1.3037,7.2061,4.1129,2.8828,1.6001,7.9500,4.4124,2.8719,1.6195,7.0712,4.1305,2.7936,1.4925,11.4074,6.3201,11.8355,5.1989,34.0445,27.5602,19.9419,8.1912,37.7118,25.2915,16.1322,6.4462
000529.SZ,0,2.8439,17.6957,14.0610,7.0825,2.9073,21.7479,16.8431,9.1667,4.2841,21.4624,13.8384,8.3188,3.4349,32.2525,82.9343,56.2789,30.6330,106.1783,79.5025,54.8432,26.7960,93.0741,59.4852,36.6987,21.4390,63.3658,47.6015,25.1348,9.7819,55.6683,31.9048,20.8246,9.5952,68.6088,31.3174,19.5303,7.6557,56.6209,22.1062,21.0768,4.6496,35.5233,24.4672,13.5554,4.1541
000665.SZ,0,0.6544,3.1250,1.9881,1.4005,0.6398,4.6289,3.7338,2.8043,1.4569,10.0370,7.5219,5.6725,3.2078,19.8408,12.2539,9.4069,4.5080,26.7116,17.7279,11.4757,5.6024,35.3050,22.2738,14.1048,9.9827,50.4728,26.4652,20.3391,10.2006,79.1042,37.8798,33.9710,18.7302,9.7369,4.2153,2.3621,1.3824,4.5884,3.2247,2.0818,1.1574,3.8166,2.9166,1.9365,0.9834
000719.SZ,0,1.4277,8.8992,5.2181,4.2443,1.1219,9.2498,5.3683,3.7914,1.5423,8.7858,5.0143,3.3928,1.3272,7.6787,4.5335,3.3528,1.3944,8.5037,4.8192,3.6187,1.3703,9.3888,5.5700,4.0131,1.5920,12.1633,7.4309,2.8103,1.3482,7.0750,4.5916,2.9610,1.4162,7.4535,4.9172,3.4192,1.5179,6.5940,3.2540,2.2036,0,0,0,0,0
000793.SZ,0.7975,0.4157,3.3174,2.4487,1.5421,0.6796,3.1450,2.2271,1.5373,0.6179,3.6649,2.4961,1.9895,0.9717,4.0757,2.0609,1.5046,0.7535,5.1224,2.7554,1.9505,0.9139,6.2000,3.8810,2.7169,1.2190,8.4504,5.8897,4.7242,2.1663,13.6557,8.7875,6.6136,2.9217,19.9344,10.9463,6.7009,3.5422,22.4666,12.3089,9.0657,4.7460,24.2415,13.2563,8.6756,4.2917
002181.SZ,0,0.9561,3.7811,2.4394,1.5980,0.6729,4.1137,2.6648,1.8337,0.9200,3.8468,2.5262,1.6848,0.7794,3.2330,2.1319,1.4199,0.6554,2.9396,1.9414,1.2668,0.6184,3.2123,1.5928,1.0433,0.4943,3.9533,1.8958,1.8834,0.9168,5.3321,3.6021,2.4410,1.1931,8.9298,5.0854,3.3892,0.5089,2.5878,1.8139,1.2111,0.6278,2.8462,1.9204,1.3120,0.6042
002238.SZ,0,3.3424,18.6060,7.9852,5.8047,3.7546,21.6436,14.2995,9.5383,5.0759,26.2414,16.7264,12.5176,5.4017,31.9394,16.1615,11.2437,6.1655,34.9934,19.1084,16.6480,6.7236,38.6319,17.1886,15.1684,6.2265,35.8373,15.5591,10.1727,5.3127,32.6028,20.6121,18.6606,6.5977,31.4653,25.2854,12.2783,5.7198,36.0612,25.5409,16.7524,8.6518,89.9913,27.9150,21.5529,27.0862
002599.SZ,0,1.1257,4.1700,2.7156,1.6289,0.7193,4.2435,2.8916,1.8768,0.8863,4.5454,3.2589,2.1651,1.0099,4.2440,2.9486,1.8417,0.7609,3.4045,2.6410,1.6711,0.7929,3.6337,2.6866,1.7360,0.8330,3.8873,2.9950,1.9775,0.9792,3.6601,2.6225,1.8024,0.7910,3.7100,2.7680,1.8061,0.9338,4.3344,3.2051,2.1973,0,6.1379,0,0,0
300079.SZ,0,0.5191,2.2328,1.4301,0.7915,0.3009,1.4536,0.9664,0.6210,0.4000,1.9625,1.3050,0.8885,0.3699,2.2532,1.5436,1.0542,0.4817,3.0413,1.8032,1.1922,0.5040,2.8252,1.7391,1.2000,0.5369,1.8899,1.1134,0.6926,0.2950,1.1192,0.7542,0.4255,0.1933,1.6384,1.1535,0.7390,0.2585,2.1807,1.5887,1.0945,0.6347,2.5858,1.6375,0.9266,0.4073
300148.SZ,0,0.7401,3.3623,2.0203,1.2618,0.5063,3.8353,2.4749,1.7500,0.8299,3.9924,2.2481,1.3901,0.5823,3.7926,2.5241,1.8741,0.7760,5.7027,3.2225,2.7149,1.1469,9.2291,4.2848,3.1533,1.2988,9.6766,4.8903,3.1628,1.1221,7.3141,2.6425,2.3684,0.9517,6.5746,3.0628,2.1132,0.8485,8.2923,3.4572,3.2263,0.8564,7.8102,4.6035,3.4140,0
300336.SZ,0,0.4133,1.9884,1.3361,1.0125,0.4758,1.4530,0.9156,0.5423,0.1743,1.1592,0.6683,0.5023,0.2329,1.5873,0.9840,0.7459,0.3871,1.2647,0.7648,0.5159,0.2768,1.4691,0.9871,0.6649,0.2743,1.9085,1.0637,0.8407,0.3564,1.7479,1.2157,0.9036,0.4077,2.0367,1.3799,1.0700,0.6634,3.9373,0,0,0,2.9636,0,0,0
300364.SZ,0,1.3277,6.1301,4.5630,2.8074,1.1034,3.7188,2.3770,1.5415,0.6314,4.8345,3.0660,1.9551,0.9996,5.0733,3.2310,1.7450,0.7382,3.8928,2.1684,1.4455,0.5387,3.0323,1.8934,1.2494,0.4969,3.2873,0,1.3942,0,3.5400,0,0,0,3.3535,0,0,0,2.9681,0,0,0,0,0,0,0
300654.SZ,0,0.3198,2.1581,1.3613,0.5496,0.2379,2.4857,1.5652,0.7642,0.3493,2.2657,1.3316,0.5960,0.2466,2.1220,1.3149,0.7145,0.2267,2.2327,1.5182,0.6276,0,2.6157,0,0.7429,0.3515,2.5879,0,0,0,2.4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300788.SZ,0,3.7344,19.6711,14.2779,7.8109,3.3115,24.9311,14.7125,9.0415,0,28.1721,0,14.2057,0,31.0319,0,12.9491,0,21.1305,0,10.0217,0,15.1015,0,7.4175,0,13.5206,0,0,0,12.7443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600037.SH,0,1.1922,5.8341,3.6088,2.5116,0.9846,6.7402,4.1952,2.9451,1.3589,7.8881,4.7716,3.5792,1.4844,9.4207,5.5138,3.9463,1.8593,11.1054,6.7132,4.8520,2.4127,12.8361,6.6921,4.6008,2.3723,19.5028,10.2102,8.0763,6.3909,42.0043,17.5326,14.2493,8.0744,87.6883,28.8205,21.1286,11.4874,239.9027,71.0854,48.5847,24.0761,771.2211,128.5689,167.2083,26.0016
600229.SH,0,1.1921,5.7332,3.5180,2.3599,1.0532,7.1593,3.9291,3.0223,1.2983,7.3142,3.8893,3.3516,1.3035,8.2446,4.0629,3.7497,1.5493,9.8121,4.7513,3.6340,1.4536,10.5595,5.2526,5.4970,2.7767,14.2332,8.1392,6.1352,3.2178,12.9995,9.0147,6.9720,3.4840,15.0410,11.8381,9.0760,4.5000,20.8037,13.4577,11.2476,5.0547,19.7820,11.4774,8.4341,3.9147
